Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	G:\ccRCC_DIA\Barcelona_Tutorial\mzml\CPTAC_CCRCC_W_JHU_20190112_LUMOS_C3N-00577_NAT.mzML	G:\ccRCC_DIA\Barcelona_Tutorial\mzml\CPTAC_CCRCC_W_JHU_20190112_LUMOS_C3L-00418_NAT.mzML	G:\ccRCC_DIA\Barcelona_Tutorial\mzml\CPTAC_CCRCC_W_JHU_20190112_LUMOS_C3N-00577_T.mzML	G:\ccRCC_DIA\Barcelona_Tutorial\mzml\CPTAC_CCRCC_W_JHU_20190112_LUMOS_C3N-00733_NAT.mzML	G:\ccRCC_DIA\Barcelona_Tutorial\mzml\CPTAC_CCRCC_W_JHU_20190112_LUMOS_C3N-00733_T.mzML	G:\ccRCC_DIA\Barcelona_Tutorial\mzml\CPTAC_CCRCC_W_JHU_20190112_LUMOS_C3L-01882_NAT.mzML	G:\ccRCC_DIA\Barcelona_Tutorial\mzml\CPTAC_CCRCC_W_JHU_20190112_LUMOS_C3L-00418_T.mzML	G:\ccRCC_DIA\Barcelona_Tutorial\mzml\CPTAC_CCRCC_W_JHU_20190112_LUMOS_C3L-00606_T.mzML	G:\ccRCC_DIA\Barcelona_Tutorial\mzml\CPTAC_CCRCC_W_JHU_20190112_LUMOS_C3L-00606_NAT.mzML	G:\ccRCC_DIA\Barcelona_Tutorial\mzml\CPTAC_CCRCC_W_JHU_20190112_LUMOS_C3L-01882_T.mzML
P03928	P03928		MT-ATP8		3.39307e+06	5.51263e+06		3.39566e+06	1.96475e+06	5.85875e+06		2.55693e+06	3.72452e+06	
P03952	P03952		KLKB1		618604	554626	320771	830949	400705	394063	498211	157083	1.3253e+06	739793
P04003	P04003		C4BPA		3.89438e+07	1.64058e+07	3.95527e+07	1.18369e+07	1.13896e+07	2.54452e+06	1.00319e+07	4.29316e+06	2.9481e+07	1.20989e+07
P04040	P04040		CAT		2.39565e+06	3.09611e+06	3.52512e+06	4.14444e+06	2.05314e+06	4.72312e+06	3.39641e+06	1.20875e+06	2.92238e+06	4.8351e+06
P04066	P04066		FUCA1		4.65222e+06	4.12746e+06	6.21752e+06	5.78552e+06	2.63718e+06	2.53406e+06	1.95731e+06	1.5454e+06	4.38348e+06	1.39595e+07
P04075	P04075		ALDOA		152630	157527	470689	153430	1.00374e+06	101591	301698	385923	330038	387892
P04080	P04080		CSTB		3.53404e+06	3.4597e+06	2.0131e+07	3.37887e+06	3.59131e+06	4.63108e+06	5.73555e+06	6.88191e+06	4.88816e+06	8.25246e+06
P04083	P04083		ANXA1				1.59157e+07		647991		610724		2.00079e+06	6.77808e+06
P04114	P04114		APOB		1.77316e+07	9.21114e+06	1.83227e+07	9.12362e+06	5.8519e+06	2.11287e+06	1.3764e+07	1.97153e+06	1.26457e+07	7.5054e+06
P04181	P04181		OAT		3.07957e+06	1.105e+07	722991	5.23007e+06	284515	6.35826e+06	853026	694804	2.46939e+06	545244
P04196	P04196		HRG		3.35017e+06	2.55098e+06	2.1049e+06	1.87887e+06	1.31403e+06	969229	1.2974e+06	1.28942e+06	3.86835e+06	1.93304e+06
P04217	P04217		A1BG		1.7026e+07	1.30571e+07	1.529e+07	1.04834e+07	5.86645e+06	6.60305e+06	1.0761e+07	6.10696e+06	1.38132e+07	2.66095e+07
P04275	P04275		VWF		1.8023e+06	480746	1.14433e+06	956730	4.16659e+06	454354	1.52591e+06	6.13053e+06	1.24438e+06	6.23477e+06
P04406	P04406		GAPDH		9.10251e+06	1.41442e+07	2.3424e+07	1.4203e+07	5.0598e+07	2.31878e+07	3.42848e+07	2.56568e+07	1.33917e+07	4.77257e+07
P04424	P04424		ASL		1.59636e+06	2.47665e+06	1.02821e+06	2.15467e+06	2.0595e+06	2.07749e+06	1.65246e+06	1.50062e+06	875543	1.34452e+06
P04440	P04440		HLA-DPB1					145457	348901	295448	91599.2			2.99848e+06
P04792	P04792		HSPB1		7.98635e+06	6.17851e+06	3.8689e+06	5.62977e+06	2.45866e+07	9.78302e+06	1.91132e+07	9.61946e+06	5.07166e+06	1.14123e+07
P04843	P04843		RPN1		3.53903e+06	4.60846e+06	5.96124e+06	2.05336e+06	6.39112e+06	3.30739e+06	3.76541e+06	6.24101e+06	3.31545e+06	4.33265e+06
P04844	P04844		RPN2		1.49903e+06	2.50723e+06	2.37082e+06	1.43998e+06	1.62985e+06	2.44726e+06	1.4905e+06	4.35667e+06	2.27118e+06	3.84347e+06
P04899	P04899		GNAI2		1.67228e+06	1.14323e+06	2.12464e+06	1.29885e+06	1.76288e+06	1.46472e+06	1.98222e+06	1.70324e+06	1.25816e+06	4.23276e+06
P04908	P04908		H2AC4		2.12825e+07	2.25884e+07	4.92072e+06	2.05007e+07	1.10624e+07	4.52001e+07	2.55376e+07	1.75054e+07	1.36962e+07	5.90471e+07
P05023	P05023		ATP1A1		1.4406e+08	1.29049e+08	2.74688e+07	1.53576e+08	3.25256e+07	1.29216e+08	1.94653e+07	2.13518e+07	1.45331e+08	2.13002e+07
P05026	P05026		ATP1B1		2.4411e+07	1.26172e+07	3.72906e+06	1.87089e+07	3.93733e+06	1.65333e+07	1.62245e+06	2.8921e+06	1.81948e+07	1.1826e+06
P05062	P05062		ALDOB		6.70188e+07	4.8181e+08	538796	1.74632e+08	5.24561e+06	2.24607e+08	418287	8.71198e+06	3.08247e+07	2.04116e+06
P05067	P05067		APP		448458	277175	244623	639748	388015	325600	292641	242754	573786	514180
P05090	P05090		APOD		7.76706e+06	2.50017e+07	6.12921e+06	2.58807e+07	8.91109e+06	2.58181e+07	8.32756e+06	4.75492e+06	1.35167e+07	1.51311e+07
P05091	P05091		ALDH2		4.13319e+06	6.16148e+06	263722	7.2029e+06	749568	5.86499e+06	874752	1.08319e+06	2.28452e+06	1.29836e+06
P05093	P05093		CYP17A1		969784	1.5848e+06		1.93542e+06		677382			291704	
P05109	P05109		S100A8		807569	781121	1.25223e+07	906944	2.19649e+06	168195	5.45146e+06	1.22205e+06	729277	5.23384e+06
P05154	P05154		SERPINA5		105729	676669		269077	29660	313365	397643		345099	205095
P05155	P05155		SERPING1		1.27171e+07	7.28775e+06	1.02641e+07	5.04008e+06	3.39147e+06	4.27059e+06	6.30376e+06	2.31603e+06	7.60007e+06	1.03939e+07
P05156	P05156		CFI		930930	433659	580871	249183	57092.4	301933		62481	594904	189571
P05160	P05160		F13B		605434	581544	869380	584836	306365	278908	567319	161641	771141	560900
P05164	P05164		MPO		515843	397172	4.36845e+06	491378	547615	438120	863902	640250	571884	1.0126e+06
P05165	P05165		PCCA		1.53071e+07	1.6114e+07	4.10439e+06	1.42061e+07	4.72396e+06	1.11031e+07	5.57878e+06	3.15098e+06	2.63698e+07	2.30666e+06
P05166	P05166		PCCB		6.53399e+06	1.2572e+07	1.91521e+06	9.34583e+06	1.40129e+06	1.29786e+07	1.35928e+06	1.55875e+06	6.51555e+06	917369
P05198	P05198		EIF2S1		4.33505e+06	3.41352e+06	5.58938e+06	4.21798e+06	5.52052e+06	3.0233e+06	7.27657e+06	4.33565e+06	4.934e+06	6.86558e+06
P05362	P05362		ICAM1		813138	335127	3.52471e+06	759445	1.77961e+06	359174	1.67673e+06	2.12948e+06	676764	863317
P05387	P05387		RPLP2		1.72427e+07	1.56039e+07	1.21148e+07	9.98572e+06	1.75727e+07	1.4864e+07	1.6065e+07	1.65787e+07	1.1171e+07	1.37939e+07
P05388	P05388		RPLP0		1.46618e+07	1.2744e+07	7.66183e+06	1.0033e+07	8.65085e+06	1.25261e+07	4.1926e+06	8.1062e+06	1.0684e+07	7.2797e+06
P05451	P05451		REG1A		219239			139711	304611				118096	47608.6
P05455	P05455		SSB		1.10438e+06	3.56131e+06	3.99148e+06	2.27955e+06	3.04662e+06	1.7634e+06	3.91066e+06	2.91113e+06	4.23889e+06	2.37063e+06
P05543	P05543		SERPINA7		1.20435e+06	616824	635899	646930	363979	311017	330393	1.03715e+06	1.32396e+06	697439
P05556	P05556		ITGB1		5.61074e+06	4.84418e+06	4.55184e+06	4.94002e+06	2.58276e+06	3.83432e+06	4.05951e+06	4.08711e+06	5.50812e+06	4.85998e+06
P05783	P05783		KRT18		3.88469e+07	4.856e+07	4.11479e+07	3.50173e+07	5.51656e+07	1.7573e+07	6.90849e+07	3.90888e+07	3.80907e+07	2.70909e+07
P05787	P05787		KRT8		659941	608667	3.74367e+06	542535		360614	287599	660376	516285	642402
P05937	P05937		CALB1		399538	1.36579e+06		1.37428e+06		1.59662e+06				
P06132	P06132		UROD		186644		1.67535e+06		1.29634e+06		409029	63339.5	819809	1.6502e+06
P06213	P06213		INSR		146348	278032	159404	105849	182709	338382	205171	333712	169262	
P06241	P06241		FYN		2.33962e+06	2.37091e+06	1.8991e+06	2.71647e+06	1.71578e+06	1.92607e+06	1.46956e+06	2.56307e+06	1.55192e+06	1.28228e+06
P06276	P06276		BCHE		197151	205176	173059	562907	346654	394354	472301	84952.7	377081	594384
P06280	P06280		GLA		964073	3.04352e+06	1.03342e+06	2.10709e+06	504279	4.44245e+06	627977	588374	2.8171e+06	842079
P06396	P06396		GSN		2.08224e+07	1.64352e+07	1.17152e+07	1.28353e+07	1.67533e+07	8.65267e+06	1.51939e+07	1.93489e+07	2.5246e+07	1.77855e+07
P06576	P06576		ATP5F1B		1.70318e+08	2.10067e+08	6.71908e+07	2.43564e+08	9.59497e+07	2.12164e+08	7.92151e+07	6.08851e+07	2.21666e+08	6.8564e+07
P06681	P06681		C2		9.35991e+06	3.29409e+06	7.38198e+06	3.06878e+06	3.20505e+06	2.09372e+06	2.86949e+06	1.54419e+06	5.9338e+06	7.39713e+06
P06703	P06703		S100A6		85670	370263	60009.3	416134	26754.5	53206.4	102939	214004	1.64849e+06	823360
P06727	P06727		APOA4		1.62311e+06	6.45151e+06	1.1904e+06	3.95493e+06	2.33404e+06	4.76214e+06	3.65917e+06	755853	1.01536e+06	4.60336e+06
P06733	P06733		ENO1		6.88316e+07	5.14757e+07	2.50153e+08	7.64206e+07	1.88428e+08	4.78179e+07	3.58322e+08	1.25743e+08	9.42052e+07	3.02941e+08
P06737	P06737		PYGL		1.49191e+06	993069	5.0438e+06	988747	9.39694e+06	908562	1.09638e+07	1.25728e+07	1.2909e+06	7.11546e+06
P06744	P06744		GPI		166623	187257	343766	179395	445921	178437	463730	325142	143993	
P06746	P06746		POLB		105469			71004.9	60516.6	71431.3		87415.6	168825	
P06756	P06756		ITGAV		1.64178e+06	1.08615e+06	1.11653e+06	1.27468e+06	960770	1.37056e+06		1.18373e+06	1.28486e+06	1.10633e+06
P06865	P06865		HEXA		5.27528e+06	7.15296e+06	4.83945e+06	8.24071e+06	3.34135e+06	4.06048e+06	3.0686e+06	2.70477e+06	5.56952e+06	2.31788e+06
P07093	P07093		SERPINE2		446608	646072	327932	432735	68415.8	213958	182294	77625.7	596533	434191
P07099	P07099		EPHX1		1.97196e+06	5.17014e+06	1.0557e+06	2.37972e+06	3.26938e+06	6.53635e+06	1.68733e+06	2.44547e+07	2.89594e+06	4.0935e+06
P07108	P07108		DBI		8.60794e+06	8.71983e+06	3.5405e+06	7.51979e+06	9.92322e+06	6.21006e+06	2.88687e+06	3.60572e+06	3.33622e+06	3.08301e+06
P07195	P07195		LDHB		8.83111e+07	1.28313e+08	9.27036e+06	9.57345e+07	5.10926e+07	1.33243e+08	4.15349e+07	4.91762e+07	6.29804e+07	3.96877e+07
P07203	P07203		GPX1		4.72204e+06	3.50614e+06	3.74568e+06	3.74918e+06	4.27766e+06	4.57593e+06	3.65524e+06	3.23071e+06	3.79907e+06	7.64002e+06
P07237	P07237		P4HB		4.72165e+06	3.525e+06	1.39303e+07	2.29572e+06	9.36107e+06	4.33449e+06	4.97257e+06	1.59212e+07	2.33283e+06	6.99541e+06
P07306	P07306		ASGR1				62686.9							
P07311	P07311		ACYP1		770490	577360	948332	582676	627250	322397	1.3991e+06	1.51422e+06	655190	578589
P07339	P07339		CTSD		3.35817e+07	6.95565e+07	5.09989e+07	3.84977e+07	5.04007e+07	5.20918e+07	4.94919e+07	4.59081e+07	6.25514e+07	1.15739e+08
P07355	P07355		ANXA2		3.76075e+07	2.07054e+07	8.82587e+07	2.85028e+07	2.8373e+07	1.95973e+07	6.20507e+07	5.40612e+07	3.76159e+07	6.54979e+07
P07357	P07357		C8A		278239	143442	89279.6		2226.96	98951.9	5751.4	40455.5	152879	76670.4
P07358	P07358		C8B		5.24617e+06	2.40796e+06	1.06789e+06	1.98405e+06	1.43907e+06	2.12989e+06	98504.4	926048	5.42646e+06	1.33345e+06
P07360	P07360		C8G		1.77016e+06	1.27948e+06	1.51428e+06	958807	1.15725e+06	864179		437589	2.43523e+06	644839
P07384	P07384		CAPN1		7.65561e+06	6.86093e+06	6.59316e+06	5.16161e+06	6.90778e+06	4.60903e+06	1.0624e+07	9.88022e+06	8.12188e+06	6.6058e+06
P07437	P07437		TUBB		3.62552e+07	3.22343e+07	2.4419e+07	3.07739e+07	3.49876e+07	2.52301e+07	3.42438e+07	3.09163e+07	3.79732e+07	2.66122e+07
P07451	P07451		CA3			276048	335056	949541	393205		1.64023e+06	118708	389143	504215
P07585	P07585		DCN		1.78552e+07	9.52142e+06	1.06356e+07	1.40731e+07	1.18161e+06	1.02887e+07		441464	2.46265e+07	6.05288e+06
P07738	P07738		BPGM		620007	439677	1.32076e+06	1.17417e+06	2.36078e+06	303109	1.79366e+06	492646	686506	2.44694e+06
P07814	P07814		EPRS1		2.71412e+06	2.46491e+06	1.83099e+06	2.38216e+06	3.3534e+06	2.74766e+06	2.17868e+06	2.86438e+06	2.9637e+06	1.66429e+06
P07858	P07858		CTSB		2.97417e+07	9.69769e+07	3.73301e+07	4.39839e+07	3.94036e+07	5.18853e+07	2.86749e+07	2.02956e+07	3.0003e+07	7.49993e+07
P07900	P07900		HSP90AA1		7.11366e+07	8.9661e+07	4.77459e+07	6.28232e+07	6.47518e+07	1.09081e+08	6.70829e+07	6.07875e+07	6.61808e+07	6.85582e+07
P07942	P07942		LAMB1		2.74082e+06	2.37514e+06	1.2726e+06	2.50397e+06	3.67261e+06	2.16351e+06	3.62466e+06	3.5968e+06	2.91757e+06	2.69731e+06
P07948	P07948		LYN					199605	281219		78681.7	316970	52362.6	159681
P07996	P07996		THBS1		1.02048e+07	6.4162e+06	3.3588e+07	8.46654e+06	6.31465e+06	8.25488e+06	5.46829e+06	3.35664e+07	6.08105e+06	3.86791e+07
P07998	P07998		RNASE1			208962		46991.6		489403				
P08069	P08069		IGF1R		155543	183004				113459		151337	151827	
P08123	P08123		COL1A2		191494	80875.5	203325	196099	688661	397983	629747	181957	125165	1.63542e+06
P08183	P08183		ABCB1		1.07518e+06	2.09332e+06	118744	2.01532e+06		2.08743e+06	259861		698560	231566
P08195	P08195		SLC3A2		1.4843e+06	4.37299e+06	498777	4.9378e+06	609144	9.55549e+06	305012	648434	609354	507618
P08237	P08237		PFKM		5.09709e+06	3.04502e+06	378913	4.7913e+06	1.68954e+06	5.69904e+06	742754	2.91263e+06	4.85722e+06	1.78562e+06
P08238	P08238		HSP90AB1		5.51159e+07	4.56379e+07	6.74484e+07	3.54263e+07	5.47788e+07	4.1372e+07	4.30233e+07	5.52916e+07	4.18174e+07	4.46894e+07
P08240	P08240		SRPRA		460317	278245	466186	502597	465357	232690		157866	183814	137898
P08263	P08263		GSTA1		651057	3.87403e+06		2.41195e+06	7.07618e+06	7.28646e+06	1.7753e+06	1.58988e+06	357743	700765
P08311	P08311		CTSG		1.61676e+06	333089	1.00133e+06		186261			184053	362728	2.69291e+06
P08397	P08397		HMBS		148218			356298	319592	120378	733606			80455.4
P08473	P08473		MME		4.692e+06	2.56976e+07		2.01597e+07	910258	3.85348e+07	1.3678e+06	745009	2.12539e+06	492679
P08493	P08493		MGP		1.01941e+06	729400	645698	359771	262473	269661	451223	590704	868003	618015
P08559	P08559		PDHA1		733185					617842			703091	
P08571	P08571		CD14		597268		1.14786e+06	451145	34698.1	378083	103816			1.93295e+06
P08572	P08572		COL4A2		2.10498e+06	2.61562e+06	2.46811e+06	2.90947e+06	2.98967e+06	1.54846e+06	6.43344e+06	2.45174e+06	2.26506e+06	6.89611e+06
P08574	P08574		CYC1		3.52175e+06	5.63906e+06	1.19831e+06	4.49175e+06	2.31755e+06	4.19829e+06	1.51807e+06	1.16831e+06	3.31825e+06	1.07942e+06
P08579	P08579		SNRPB2		247127	282836	610060	225856	351814	203070	367164	561163	665048	2.95632e+06
P08581	P08581		MET		160509	124699	98898.3		349546	40645.3	201218	182438	89774.5	93375.3
P08603	P08603		CFH		2.58308e+07	1.28642e+07	1.78107e+07	1.14257e+07	7.56094e+06	7.79174e+06	5.51804e+06	3.58881e+06	2.47464e+07	1.45598e+07
P08621	P08621		SNRNP70		2.16698e+06	1.28938e+06	2.73544e+06	1.22872e+06	1.65014e+06	1.8477e+06	1.90071e+06	1.57593e+06	2.36347e+06	2.04313e+06
P08631	P08631		HCK		1.00288e+06	176075	3.25589e+06	182058	846946		392673	846818	283216	1.35823e+06
P08648	P08648		ITGA5		520482	227497	2.10965e+06	450830	475819	232534		649781	415767	1.13718e+06
P08651	P08651		NFIC		812169	713919	717854	636037	631988	406493	591746	513293	643424	413526
P08670	P08670		VIM		4.82471e+07	3.38791e+07	1.6904e+08	2.59389e+07	1.39704e+08	3.39967e+07	1.30981e+08	1.54043e+08	6.41138e+07	2.60835e+08
P08697	P08697		SERPINF2		1.64547e+07	5.62374e+06	6.68304e+06	4.8219e+06	2.06653e+06	6.121e+06	2.42758e+06	2.58283e+06	9.43277e+06	5.29182e+06
P08708	P08708		RPS17		1.75564e+06	1.47341e+06		1.78571e+06	1.9321e+06	1.62403e+06	967649	1.64177e+06	1.11647e+06	
P08727	P08727		KRT19		2.31733e+07	8.13148e+06	6.92465e+07	1.83008e+07	366389	7.62514e+06		2.26565e+06	2.0658e+07	2.73474e+06
P08729	P08729		KRT7		1.3878e+07	4.95257e+06		5.62982e+06		3.04503e+06			1.23622e+07	
P08758	P08758		ANXA5		1.76783e+07	1.39227e+07	1.58732e+07	1.56693e+07	4.19495e+07	1.22914e+07	2.96536e+07	2.75716e+07	1.74115e+07	2.22e+07
P08962	P08962		CD63		1.59092e+06	3.12206e+06	3.09989e+06	1.77364e+06	2.3308e+06	2.02865e+06	3.08625e+06	2.63482e+06	1.63922e+06	3.95531e+06
P09001	P09001		MRPL3		1.65194e+06	1.29168e+06	336627	1.85361e+06	432005	1.28537e+06	226172	514693	1.05231e+06	232660
P09012	P09012		SNRPA		336502	313950		266043	189303	334049	634254	469298	543755	297576
P09038	P09038		FGF2		172125	114130		192878	81182.9		158434	75037.8	423441	130821
P09104	P09104		ENO2		176310	256094	984953	102683	1.52949e+06	207428	3.89128e+06	1.87054e+06	329844	2.80181e+06
P09110	P09110		ACAA1		1.10401e+07	4.10097e+07	2.23196e+06	2.07117e+07	3.04931e+06	3.79034e+07	1.01197e+06	8.33031e+06	8.9647e+06	1.8319e+06
P09211	P09211		GSTP1		3.80033e+07	1.81654e+07	8.57307e+06	3.04846e+07	2.85445e+07	2.80365e+07	2.71862e+07	4.85214e+07	3.17732e+07	3.5845e+07
P09327	P09327		VIL1		2.7428e+06	5.53844e+06	149823	3.6415e+06	175843	3.78271e+06	558718	308109	1.46896e+06	353241
P09467	P09467		FBP1		7.55906e+06	4.24623e+07	221829	2.41275e+07	3.40197e+06	1.84338e+07	7.55699e+06	5.80224e+06	8.45085e+06	978575
P09525	P09525		ANXA4		124715	144964	312945				501987	1.7374e+06	151762	
P09543	P09543		CNP		892483	716747		957886	320283	810188		330851	1.12988e+06	
P09601	P09601		HMOX1		1.99115e+06	2.68077e+06	2.33457e+06	1.55661e+06	3.35362e+06	2.88842e+06	4.93506e+06	4.38956e+06	805120	1.02305e+07
P09651	P09651		HNRNPA1		9.66682e+06	7.87489e+06	1.24579e+07	8.26315e+06	6.87391e+06	1.21613e+07	9.31371e+06	1.01736e+07	1.15359e+07	1.68203e+07
P09661	P09661		SNRPA1		743766	933344	1.19271e+06	591168		957330	1.09915e+06			1.25264e+06
P09668	P09668		CTSH		44546.7	453049					27302.4	10195.3	104858	
P09758	P09758		TACSTD2		1.73898e+06	513847		837120		392298			1.82722e+06	
P09871	P09871		C1S		5.42206e+06	2.28635e+06	5.40637e+06	2.78472e+06	2.39584e+06	1.26794e+06	2.79976e+06	1.13891e+06	5.32214e+06	3.71765e+06
P09913	P09913		IFIT2					616736	388203			543122	531470	
P09917	P09917		ALOX5		372832		430784		636835			1.09862e+06		1.90407e+06
P09936	P09936		UCHL1		807466		373998						2.52469e+06	608216
P09960	P09960		LTA4H		3.56792e+06	3.91128e+06	1.5561e+06	3.42685e+06	2.50851e+06	4.40744e+06	1.74587e+06	4.79394e+06	3.89608e+06	1.7629e+06
P09972	P09972		ALDOC		814437	385275	1.51654e+06	819826	3.90814e+06	416742	2.79895e+06	3.3856e+06	754232	2.52789e+06
P0C0L4	P0C0L4		C4A		1.10104e+07	7.19217e+06	1.12637e+07	8.58458e+06	8.17642e+06	7.68799e+06	1.26972e+07	5.95191e+06	1.60532e+07	2.72494e+07
P0CG12	P0CG12		DERPC		614847	657018	437022	389362	746820	535355	750010	605550	614915	600706
P0DI81	P0DI81		TRAPPC2		154288	136978		76744	87789.3	128461		92663.5	136794	
P0DJI9	P0DJI9		SAA2							216140				165211
P0DMV8	P0DMV8		HSPA1A		1.20151e+07	1.0446e+07	1.15958e+07	1.14716e+07	1.36394e+07	1.24926e+07	1.57197e+07	1.30488e+07	1.31275e+07	1.19687e+07
P0DP23	P0DP23		CALM1		1.05092e+08	1.16182e+08	8.43877e+07	1.10123e+08	8.45813e+07	1.10973e+08	1.2182e+08	1.02958e+08	1.37506e+08	1.23928e+08
P10253	P10253		GAA		7.61594e+06	7.49644e+06	6.44267e+06	5.56111e+06	3.5498e+06	5.14435e+06	4.38783e+06	6.38708e+06	1.06142e+07	3.51923e+06
P10398	P10398		ARAF		989799	174884	335904		492463	324619	288121	570398	407057	294401
P10515	P10515		DLAT		697188	944818	262135	553556		572838	351728	642172	1.4594e+06	
P10599	P10599		TXN		552243	979921		1.11932e+06		482935	3.84306e+06	488413	694563	
P10606	P10606		COX5B		3.73582e+06	4.80668e+06	586897	4.25274e+06	968571	5.58822e+06	1.04427e+06	860228	4.82676e+06	1.30108e+06
P10620	P10620		MGST1		632327	2.07701e+06		1.29248e+06	312771	4.43884e+06		1.85721e+06	651876	
P10636	P10636		MAPT		11267.1	14784.3			22377.4		43268.1	224708		
P10643	P10643		C7		1.43047e+06	796734	480546	527269	224784	281677			877284	263311
P10644	P10644		PRKAR1A		1.63574e+06	1.69119e+06	2.62734e+06	1.96242e+06	1.92708e+06	1.56205e+06	3.18788e+06	4.81635e+06	1.12366e+06	3.23464e+06
P10768	P10768		ESD		1.35053e+07	1.84096e+07	9.12905e+06	1.48341e+07	9.64994e+06	1.80461e+07	2.17768e+07	2.79943e+07	1.52962e+07	9.58142e+06
P10809	P10809		HSPD1		3.79753e+07	6.04619e+07	2.61198e+07	6.07718e+07	2.02885e+07	1.13215e+08	1.13906e+07	1.44866e+07	3.12535e+07	1.62371e+07
P10909	P10909		CLU		2.0669e+07	1.43779e+07	1.52728e+07	1.32926e+07	6.151e+06	1.16651e+07	8.07626e+06	4.41028e+06	2.39196e+07	1.39891e+07
P10915	P10915		HAPLN1						457683			902442		
P11021	P11021		HSPA5		7.00894e+07	7.92994e+07	8.61266e+07	5.93761e+07	6.95765e+07	6.48247e+07	8.12184e+07	1.20891e+08	9.55301e+07	1.06977e+08
P11047	P11047		LAMC1		3.97187e+06	3.47744e+06	2.0509e+06	3.28351e+06	4.61932e+06	3.51332e+06	1.20943e+06	7.78136e+06	4.91245e+06	5.25467e+06
P11142	P11142		HSPA8		1.28517e+07	1.23601e+07	1.10137e+07	1.32716e+07	1.31766e+07	1.54222e+07	1.12965e+07	9.38899e+06	7.97461e+06	1.04914e+07
P11150	P11150		LIPC			132427		148796						
P11168	P11168		SLC2A2		577961	1.69443e+06		900267	523497	1.64744e+06		166240		
P11171	P11171		EPB41		384889	457795	1.30436e+06	693098	798132	308243	1.33259e+06	533952	620471	1.29843e+06
P11172	P11172		UMPS		126097	223518	76268.8	248664	88794.9	224896		205101	191212	92027.4
P11177	P11177		PDHB		2.02663e+07	2.2561e+07	5.78966e+06	2.44398e+07	4.3773e+06	2.85041e+07	3.42896e+06	5.32867e+06	2.7547e+07	2.89716e+06
P11182	P11182		DBT		3.78365e+06	4.86426e+06	1.20072e+06	3.51244e+06	1.12628e+06	4.59889e+06	2.53319e+06	1.11622e+06	1.95129e+06	1.35834e+06
P11216	P11216		PYGB		4.81764e+06	5.91598e+06	1.66256e+07	5.17185e+06	7.12855e+06	5.98353e+06	6.60315e+06	8.89666e+06	5.25081e+06	3.85779e+06
P11233	P11233		RALA		1.00202e+06					387799	734365	436901		
P11274	P11274		BCR		1.34202e+06	1.08381e+06	415082	1.11173e+06	709346	1.17649e+06	453509	872492	848252	457772
P11277	P11277		SPTB		983241	1.12434e+06	5.284e+06	2.45522e+06	1.80535e+06	1.10693e+06	8.22321e+06	726843	1.53184e+06	5.09464e+06
P11279	P11279		LAMP1		337751	1.89689e+06	146348	759867	327736	1.77531e+06	1.20162e+06	193343	518919	1.79748e+06
P11310	P11310		ACADM		5.07824e+06	5.91416e+06	866752	3.35688e+06	446985	1.076e+07	515460	1.12644e+06	1.25908e+06	418892
P11387	P11387		TOP1		1.61691e+06	1.68445e+06	2.78406e+06	1.68107e+06	1.36912e+06	2.16169e+06	1.87662e+06	2.17812e+06	2.87686e+06	1.32933e+06
P11413	P11413		G6PD		3.00702e+06	2.40538e+06	5.83574e+06	2.7441e+06	4.11543e+06	2.28246e+06	1.37921e+06	4.86893e+06	2.70598e+06	2.45934e+06
P11498	P11498		PC		5.31512e+06	1.31515e+07	152050	9.14305e+06	1.89591e+06	1.01918e+07	946963	1.53503e+06	2.30733e+06	267728
P11586	P11586		MTHFD1		2.02264e+06	3.48092e+06	576684	2.44422e+06	1.48688e+06	3.03743e+06	977706	1.4452e+06	684267	1.17424e+06
P11717	P11717		IGF2R		635700	819567	480036	494025	884874	493856	658118	796519	627382	497223
P11766	P11766		ADH5		3.73404e+06	6.6e+06	1.28374e+06	4.13739e+06	1.63996e+06	1.0237e+07	5.11278e+06	2.63331e+06	2.33021e+06	3.8922e+06
P11908	P11908		PRPS2		1.01118e+06	667127	464311	1.4567e+06	1.25844e+06	1.60478e+06	1.50803e+06	1.60737e+06	1.55202e+06	896045
P11940	P11940		PABPC1		5.66244e+06	4.79769e+06	6.08752e+06	4.56062e+06	5.67353e+06	4.71627e+06	4.50805e+06	3.92911e+06	4.64251e+06	4.81756e+06
P12004	P12004		PCNA		1.77853e+06	652500	5.63149e+06	1.15163e+06	2.87266e+06	998299	1.86478e+06	941880	3.26542e+06	5.31133e+06
P12081	P12081		HARS1		1.64317e+06	1.74472e+06	2.44655e+06	1.67417e+06	3.6428e+06	1.99594e+06	2.3831e+06	3.42634e+06	2.05444e+06	3.64067e+06
P12109	P12109		COL6A1		673239	1.06962e+06	924058	1.03111e+06	3.47459e+06	1.06982e+06	4.78358e+06	1.14914e+06	1.01417e+06	2.82322e+06
P12111	P12111		COL6A3		7.22033e+06	5.45645e+06	1.11083e+07	4.40314e+06	8.79174e+06	4.57497e+06	9.68619e+06	7.07397e+06	7.87622e+06	1.1679e+07
P12235	P12235		SLC25A4		3.35883e+06	1.26385e+06	493918	3.63434e+06	1.77402e+06	2.81678e+06	505412	948378	2.06075e+06	682001
P12236	P12236		SLC25A6		5.16206e+06	3.7585e+06	3.35715e+06	3.33354e+06	2.78616e+06	4.27033e+06	1.40877e+06	4.25975e+06	8.99628e+06	3.38733e+06
