Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	G:\ccRCC_DIA\Barcelona_Tutorial\mzml\CPTAC_CCRCC_W_JHU_20190112_LUMOS_C3N-00577_NAT.mzML	G:\ccRCC_DIA\Barcelona_Tutorial\mzml\CPTAC_CCRCC_W_JHU_20190112_LUMOS_C3L-00418_NAT.mzML	G:\ccRCC_DIA\Barcelona_Tutorial\mzml\CPTAC_CCRCC_W_JHU_20190112_LUMOS_C3N-00577_T.mzML	G:\ccRCC_DIA\Barcelona_Tutorial\mzml\CPTAC_CCRCC_W_JHU_20190112_LUMOS_C3N-00733_NAT.mzML	G:\ccRCC_DIA\Barcelona_Tutorial\mzml\CPTAC_CCRCC_W_JHU_20190112_LUMOS_C3N-00733_T.mzML	G:\ccRCC_DIA\Barcelona_Tutorial\mzml\CPTAC_CCRCC_W_JHU_20190112_LUMOS_C3L-01882_NAT.mzML	G:\ccRCC_DIA\Barcelona_Tutorial\mzml\CPTAC_CCRCC_W_JHU_20190112_LUMOS_C3L-00418_T.mzML	G:\ccRCC_DIA\Barcelona_Tutorial\mzml\CPTAC_CCRCC_W_JHU_20190112_LUMOS_C3L-00606_T.mzML	G:\ccRCC_DIA\Barcelona_Tutorial\mzml\CPTAC_CCRCC_W_JHU_20190112_LUMOS_C3L-00606_NAT.mzML	G:\ccRCC_DIA\Barcelona_Tutorial\mzml\CPTAC_CCRCC_W_JHU_20190112_LUMOS_C3L-01882_T.mzML
A6NIH7	A6NIH7		UNC119B		1.51494e+06	1.21727e+06	1.22673e+06	1.39744e+06	1.26447e+06	811044	2.21306e+06	1.99688e+06	1.47713e+06	1.08308e+06
A6NIZ1	A6NIZ1		RAP1BL		2.28838e+06	2.70848e+06	5.77317e+06	3.35761e+06	2.70208e+06	2.89489e+06	2.15848e+06	2.08822e+06	1.58335e+06	2.95982e+06
A6NJ78	A6NJ78		METTL15		82136.5	70232.9	78121.9	107803	56183.9	128396		109577	74570.1	
A6NK58	A6NK58		LIPT2						105017	189211		95884	65234.8	
A7MD48	A7MD48		SRRM4		938747		863467	2.14234e+06	797704	1.73428e+06				
A8K0Z3	A8K0Z3		WASHC1		94019.9				114947	90231.3		81990.2		
A8MUH7	A8MUH7		PDZK1P1		8.77393e+06	2.2876e+07	1.36981e+06	1.00934e+07	2.43589e+06	2.51131e+07	2.75352e+06	7.63302e+06	5.01791e+06	1.71857e+06
B2RPK0	B2RPK0		HMGB1P1		1.17299e+07	1.13995e+07	1.05493e+07	9.11977e+06	1.4283e+07	8.35963e+06	2.40072e+07	1.3918e+07	1.1691e+07	7.63847e+06
B5ME19	B5ME19		EIF3CL		966855	1.05345e+06	851914	1.02512e+06	1.17955e+06	938255	909596	1.01983e+06	793345	1.03699e+06
B7ZAQ6	B7ZAQ6		GPR89A		537802	575932		617673	510855	625486	389250	609202		
B7ZBB8	B7ZBB8		PPP1R3G			18738		18616.9	28625		64783.7			17102.3
C9J798	C9J798		RASA4B		161123	178053		229649	114394	467266	116821	196824		399723
L0R6Q1	L0R6Q1		SLC35A4					108343	177020					
O00116	O00116		AGPS		1.15846e+06	1.20389e+06	1.58149e+06	1.10405e+06	1.00752e+06	1.37905e+06	766268	1.76305e+06	871462	566317
O00139	O00139		KIF2A		730690	569603	2.18201e+06	531146	1.41863e+06	319222	674973	622842	646566	1.03309e+06
O00142	O00142		TK2							28691.6				
O00148	O00148		DDX39A		88958.5	85504.5	156970	22966.7	153880	66979.2	31880.1	104843	96241.7	63808.6
O00151	O00151		PDLIM1		7.24947e+06	3.92572e+06	1.73922e+07	6.84896e+06	1.03528e+07	5.28755e+06	1.21222e+07	8.61285e+06	7.91924e+06	1.56914e+07
O00154	O00154		ACOT7		4.15502e+06	1.1051e+07	5.13374e+06	6.4985e+06	6.7314e+06	1.13029e+07	4.14167e+06	5.73378e+06	2.60404e+06	2.92827e+06
O00159	O00159		MYO1C		1.73652e+06	2.04511e+06	1.38546e+06	1.68369e+06	2.35421e+06	1.26513e+06	2.3939e+06	2.25718e+06	1.94443e+06	3.14793e+06
O00160	O00160		MYO1F		504873	51237.9	298872		1.89908e+06		476563	384974	106162	523935
O00186	O00186		STXBP3		968212	1.21724e+06		964484	1.31842e+06	530274	435820	808168	748225	7.73092e+06
O00192	O00192		ARVCF		488058	392529		193976	68942.5	476730		472928	352872	
O00194	O00194		RAB27B		14689.6		282948				83827.7	13313.6	31001.8	34357.7
O00203	O00203		AP3B1		5.46131e+06	6.9913e+06	4.92349e+06	6.79544e+06	4.81373e+06	6.77622e+06	4.38372e+06	4.66541e+06	6.64032e+06	6.24894e+06
O00217	O00217		NDUFS8		1.10677e+07	1.11979e+07	1.09896e+06	7.16878e+06	1.3564e+06	5.96679e+06	956728	1.41859e+06	8.58451e+06	233852
O00221	O00221		NFKBIE		481957		400098	227570	1.03325e+06	189511	355032	468322	266810	268751
O00231	O00231		PSMD11		1.34961e+06	1.2749e+06	1.13209e+06	1.32214e+06	2.93343e+06	1.33858e+06	935307	1.79584e+06	1.22006e+06	1.37979e+06
O00244	O00244		ATOX1		508954	1.16506e+06	641107	1.03807e+06	1.99592e+06	1.51148e+06	397892	749165	768262	692398
O00255	O00255		MEN1		240759	154355	251861	157074	151142	150613	273024	198732	141128	292605
O00257	O00257		CBX4		241561			153915	179060			131163	214390	
O00267	O00267		SUPT5H		220146	278706	96478.4	162132		155257		337293	373521	
